Date,Time,Location,Weather,Name from Notes,Common Name,Seen/Heard,Count,Male/Female,Comments,Scientific Name,eBird URL
07 Dec 1997,,,Cloudy Sky,White Headed Babbler,Yellow-billed Babbler,Seen,,,,Argya affinis,"=HYPERLINK(""https://ebird.org/species/yebbab1?siteLanguage=en_IN"", ""Yellow-billed Babbler"")"
,,,,White Browed Bulbul,White-browed Bulbul,Heard,,,,Pycnonotus luteolus,"=HYPERLINK(""https://ebird.org/species/whbbul2?siteLanguage=en_IN"", ""White-browed Bulbul"")"
,,,,Rose Ringed Parakeet,Rose-ringed Parakeet,Seen And Heard,,,,Psittacula krameri,"=HYPERLINK(""https://ebird.org/species/rorpar?siteLanguage=en_IN"", ""Rose-ringed Parakeet"")"
,,,,Pond Heron,Indian Pond-Heron,Seen And Heard,,,,Ardeola grayii,"=HYPERLINK(""https://ebird.org/species/inpher1?siteLanguage=en_IN"", ""Indian Pond-Heron"")"
,,,,Koel,Asian Koel,Seen And Heard,,,,Eudynamys scolopaceus,"=HYPERLINK(""https://ebird.org/species/asikoe2?siteLanguage=en_IN"", ""Asian Koel"")"
,,,,Coucal,Greater Coucal,Heard,,,,Centropus sinensis,"=HYPERLINK(""https://ebird.org/species/grecou1?siteLanguage=en_IN"", ""Greater Coucal"")"
,,,,Spotted Dove,Spotted Dove,Seen And Heard,,,,Spilopelia chinensis,"=HYPERLINK(""https://ebird.org/species/spodov?siteLanguage=en_IN"", ""Spotted Dove"")"
,,,,White Breasted Kingfisher,White-throated Kingfisher,,,,,Halcyon smyrnensis,"=HYPERLINK(""https://ebird.org/species/whtkin2?siteLanguage=en_IN"", ""White-throated Kingfisher"")"
,,,,Drongo,Hair-crested Drongo (Spangled Drongo),,,,,Dicrurus hottentottus,"=HYPERLINK(""https://ebird.org/species/hacdro1?siteLanguage=en_IN"", ""Hair-crested Drongo (Spangled Drongo)"")"
,,,,Pled Waggtail,White-browed Wagtail (Large Pied Wagtail),Seen,,,,Motacilla maderaspatensis,"=HYPERLINK(""https://ebird.org/species/whbwag1?siteLanguage=en_IN"", ""White-browed Wagtail (Large Pied Wagtail)"")"
,,,,Pariah Kite,Black Kite,,,,,Milvus migrans,"=HYPERLINK(""https://ebird.org/species/blakit1?siteLanguage=en_IN"", ""Black Kite"")"
,,,,Paddy Field Warbler,Paddyfield Warbler,,,,,Acrocephalus agricola,"=HYPERLINK(""https://ebird.org/species/padwar1?siteLanguage=en_IN"", ""Paddyfield Warbler"")"
,,,,Dove,Asian Emerald Dove,,,,,Chalcophaps indica,"=HYPERLINK(""https://ebird.org/species/emedov2?siteLanguage=en_IN"", ""Asian Emerald Dove"")"
,,,,Myna,Common Myna,Seen,,,,Acridotheres tristis,"=HYPERLINK(""https://ebird.org/species/commyn?siteLanguage=en_IN"", ""Common Myna"")"
,,,,House Crow,House Crow,,,,,Corvus splendens,"=HYPERLINK(""https://ebird.org/species/houcro1?siteLanguage=en_IN"", ""House Crow"")"
,,,,Jungle Crow,Large-billed Crow (Indian Jungle),,,,,Corvus macrorhynchos culminatus,
,,,,Little Egret,Little Egret,,,,,Egretta garzetta,"=HYPERLINK(""https://ebird.org/species/litegr?siteLanguage=en_IN"", ""Little Egret"")"
,,,,Medium Egret,Intermediate Egret (Medium Egret),,,,,Ardea intermedia,"=HYPERLINK(""https://ebird.org/species/integr1?siteLanguage=en_IN"", ""Intermediate Egret (Medium Egret)"")"
,,,,Common Swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,Spotted Munia,Scaly-breasted Munia (Spotted Munia),Seen,,,,Lonchura punctulata,"=HYPERLINK(""https://ebird.org/species/nutman?siteLanguage=en_IN"", ""Scaly-breasted Munia (Spotted Munia)"")"
,,,,White breasted water hen,White-breasted Waterhen,Seen,,,,Amaurornis phoenicurus,"=HYPERLINK(""https://ebird.org/species/whbwat1?siteLanguage=en_IN"", ""White-breasted Waterhen"")"
,,,,red whiskered bulbul,Red-whiskered Bulbul,,8,,8+ birds seen feeding in the grass,Pycnonotus jocosus,"=HYPERLINK(""https://ebird.org/species/rewbul?siteLanguage=en_IN"", ""Red-whiskered Bulbul"")"
,,,,red vented bulbul,Red-vented Bulbul,,,,,Pycnonotus cafer,"=HYPERLINK(""https://ebird.org/species/revbul?siteLanguage=en_IN"", ""Red-vented Bulbul"")"
,,Lost Lake,Cloudy Sky,red whiskered bulbul,Red-whiskered Bulbul,,,,,Pycnonotus jocosus,"=HYPERLINK(""https://ebird.org/species/rewbul?siteLanguage=en_IN"", ""Red-whiskered Bulbul"")"
,,,,Rose Ringed Parakeet,Rose-ringed Parakeet,Heard,,,,Psittacula krameri,"=HYPERLINK(""https://ebird.org/species/rorpar?siteLanguage=en_IN"", ""Rose-ringed Parakeet"")"
,,,,Black Drongo,Black Drongo,Seen,,,Pair,Dicrurus macrocercus,"=HYPERLINK(""https://ebird.org/species/bladro1?siteLanguage=en_IN"", ""Black Drongo"")"
,,,,sunbird,Loten's Sunbird (Long-billed Sunbird),seen,,,,Cinnyris lotenius,"=HYPERLINK(""https://ebird.org/species/lobsun2?siteLanguage=en_IN"", ""Loten's Sunbird (Long-billed Sunbird)"")"
,,,,White Headed Babbler,Yellow-billed Babbler,,,,,Argya affinis,"=HYPERLINK(""https://ebird.org/species/yebbab1?siteLanguage=en_IN"", ""Yellow-billed Babbler"")"
,,,,malkoha,Green-billed Malkoha,,,,,Phaenicophaeus tristis,"=HYPERLINK(""https://ebird.org/species/grbmal1?siteLanguage=en_IN"", ""Green-billed Malkoha"")"
,,,,paradise fly catcher,Indian Paradise-Flycatcher,,,,,Terpsiphone paradisi,"=HYPERLINK(""https://ebird.org/species/aspfly1?siteLanguage=en_IN"", ""Indian Paradise-Flycatcher"")"
,,,,grey drongo,Ashy Drongo,,,,,Dicrurus leucophaeus,"=HYPERLINK(""https://ebird.org/species/ashdro1?siteLanguage=en_IN"", ""Ashy Drongo"")"
,,,,red vented bulbul,Red-vented Bulbul,,,,,Pycnonotus cafer,"=HYPERLINK(""https://ebird.org/species/revbul?siteLanguage=en_IN"", ""Red-vented Bulbul"")"
,,,,white browed bulbul,White-browed Bulbul,,,,,Pycnonotus luteolus,"=HYPERLINK(""https://ebird.org/species/whbbul2?siteLanguage=en_IN"", ""White-browed Bulbul"")"
,,,,little brown dove,Laughing Dove (Little Brown Dove),,,,,Spilopelia senegalensis,"=HYPERLINK(""https://ebird.org/species/laudov1?siteLanguage=en_IN"", ""Laughing Dove (Little Brown Dove)"")"
,,,,coucal,Greater Coucal,,,,,Centropus sinensis,"=HYPERLINK(""https://ebird.org/species/grecou1?siteLanguage=en_IN"", ""Greater Coucal"")"
,,,,White Headed Babbler,Yellow-billed Babbler,,,,,Argya affinis,"=HYPERLINK(""https://ebird.org/species/yebbab1?siteLanguage=en_IN"", ""Yellow-billed Babbler"")"
,,,,white breasted kingfisher,White-throated Kingfisher,,,,,Halcyon smyrnensis,"=HYPERLINK(""https://ebird.org/species/whtkin2?siteLanguage=en_IN"", ""White-throated Kingfisher"")"
,,,,mottled wood owl,Mottled Wood-Owl,,,,,Strix ocellata,"=HYPERLINK(""https://ebird.org/species/mowowl1?siteLanguage=en_IN"", ""Mottled Wood-Owl"")"
,,,,plaintive cuckoo,Plaintive Cuckoo,,,,,Cacomantis merulinus,"=HYPERLINK(""https://ebird.org/species/placuc1?siteLanguage=en_IN"", ""Plaintive Cuckoo"")"
,,,,jungle night jar,Jungle Nightjar (Indian Jungle Nightjar),,,,17 calls in 1 min (7:30 pm),Caprimulgus indicus,"=HYPERLINK(""https://ebird.org/species/grynig2?siteLanguage=en_IN"", ""Jungle Nightjar (Indian Jungle Nightjar)"")"
14 Dec 1997,,,Cloudy Sky,purple rumped sunbird,Purple-rumped Sunbird,,,,,Leptocoma zeylonica,"=HYPERLINK(""https://ebird.org/species/pursun3?siteLanguage=en_IN"", ""Purple-rumped Sunbird"")"
,,,,Pariah kite,Black Kite,,,,,Milvus migrans,"=HYPERLINK(""https://ebird.org/species/blakit1?siteLanguage=en_IN"", ""Black Kite"")"
,,,,red whiskered bulbul,Red-whiskered Bulbul,,,,,Pycnonotus jocosus,"=HYPERLINK(""https://ebird.org/species/rewbul?siteLanguage=en_IN"", ""Red-whiskered Bulbul"")"
,,,,crimson breasted barbet,Coppersmith Barbet,,,,,Psilopogon haemacephalus,"=HYPERLINK(""https://ebird.org/species/copbar1?siteLanguage=en_IN"", ""Coppersmith Barbet"")"
,,,,Black Drongo,Black Drongo,,,,,Dicrurus macrocercus,"=HYPERLINK(""https://ebird.org/species/bladro1?siteLanguage=en_IN"", ""Black Drongo"")"
,,,,white browed bulbul,White-browed Bulbul,,,,,Pycnonotus luteolus,"=HYPERLINK(""https://ebird.org/species/whbbul2?siteLanguage=en_IN"", ""White-browed Bulbul"")"
,,,,Rose Ringed Parakeet,Rose-ringed Parakeet,,,,,Psittacula krameri,"=HYPERLINK(""https://ebird.org/species/rorpar?siteLanguage=en_IN"", ""Rose-ringed Parakeet"")"
,,,,spotted dove,Spotted Dove,,,,,Spilopelia chinensis,"=HYPERLINK(""https://ebird.org/species/spodov?siteLanguage=en_IN"", ""Spotted Dove"")"
,,,,coucal,Greater Coucal,,,,,Centropus sinensis,"=HYPERLINK(""https://ebird.org/species/grecou1?siteLanguage=en_IN"", ""Greater Coucal"")"
,,,,koel,Asian Koel,,,F,,Eudynamys scolopaceus,"=HYPERLINK(""https://ebird.org/species/asikoe2?siteLanguage=en_IN"", ""Asian Koel"")"
,,,,myna,Common Myna,,,,,Acridotheres tristis,"=HYPERLINK(""https://ebird.org/species/commyn?siteLanguage=en_IN"", ""Common Myna"")"
,,,,paradise fly catcher,Indian Paradise-Flycatcher,,,F,,Terpsiphone paradisi,"=HYPERLINK(""https://ebird.org/species/aspfly1?siteLanguage=en_IN"", ""Indian Paradise-Flycatcher"")"
,,,,roufous bellied babbler,Tawny-bellied Babbler,,,,,Dumetia hyperythra,"=HYPERLINK(""https://ebird.org/species/tabbab1?siteLanguage=en_IN"", ""Tawny-bellied Babbler"")"
,,,,White breasted water hen,White-breasted Waterhen,,,,,Amaurornis phoenicurus,"=HYPERLINK(""https://ebird.org/species/whbwat1?siteLanguage=en_IN"", ""White-breasted Waterhen"")"
,,,,pond heron,Indian Pond-Heron,,,,,Ardeola grayii,"=HYPERLINK(""https://ebird.org/species/inpher1?siteLanguage=en_IN"", ""Indian Pond-Heron"")"
,,,,little herron,Striated Heron (Little Heron),,,,,Butorides striata,"=HYPERLINK(""https://ebird.org/species/strher?siteLanguage=en_IN"", ""Striated Heron (Little Heron)"")"
,,,,Taylor bird,Common Tailorbird,,,,,Orthotomus sutorius,"=HYPERLINK(""https://ebird.org/species/comtai1?siteLanguage=en_IN"", ""Common Tailorbird"")"
,,,,pied waggtail,White-browed Wagtail (Large Pied Wagtail),,,,,Motacilla maderaspatensis,"=HYPERLINK(""https://ebird.org/species/whbwag1?siteLanguage=en_IN"", ""White-browed Wagtail (Large Pied Wagtail)"")"
,,,,egret,Intermediate Egret (Medium Egret),,,,,Ardea intermedia,"=HYPERLINK(""https://ebird.org/species/integr1?siteLanguage=en_IN"", ""Intermediate Egret (Medium Egret)"")"
,,,,cattle egret,Eastern Cattle Egret,,,,,Bubulcus coromandus,"=HYPERLINK(""https://ebird.org/species/categr2?siteLanguage=en_IN"", ""Eastern Cattle Egret"")"
,,,,dabchick,Little Grebe,,,,,Tachybaptus ruficollis,"=HYPERLINK(""https://ebird.org/species/litgre1?siteLanguage=en_IN"", ""Little Grebe"")"
,,,,red vented bulbul,Red-vented Bulbul,,,,,Pycnonotus cafer,"=HYPERLINK(""https://ebird.org/species/revbul?siteLanguage=en_IN"", ""Red-vented Bulbul"")"
,,,,pied bushchat,Pied Bushchat,,,,,Saxicola caprata,"=HYPERLINK(""https://ebird.org/species/piebus1?siteLanguage=en_IN"", ""Pied Bushchat"")"
,,,,Warbler?,Blyth's Reed Warbler,,,,,Acrocephalus dumetorum,"=HYPERLINK(""https://ebird.org/species/blrwar1?siteLanguage=en_IN"", ""Blyth's Reed Warbler"")"
,,,,drongo,Hair-crested Drongo (Spangled Drongo),,,,,Dicrurus hottentottus,"=HYPERLINK(""https://ebird.org/species/hacdro1?siteLanguage=en_IN"", ""Hair-crested Drongo (Spangled Drongo)"")"
,,,,common swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,white breasted kingfisher,White-throated Kingfisher,,,,,Halcyon smyrnensis,"=HYPERLINK(""https://ebird.org/species/whtkin2?siteLanguage=en_IN"", ""White-throated Kingfisher"")"
,,,,plaintive cuckoo,Plaintive Cuckoo,,,,,Cacomantis merulinus,"=HYPERLINK(""https://ebird.org/species/placuc1?siteLanguage=en_IN"", ""Plaintive Cuckoo"")"
,,,,mottled wood owl,Mottled Wood-Owl,,,,,Strix ocellata,"=HYPERLINK(""https://ebird.org/species/mowowl1?siteLanguage=en_IN"", ""Mottled Wood-Owl"")"
,8:00 am – 10:00 am,"Obulnayan Cheruvu (Irrigation canal)
Papanayan Cheruvu",Cloudy Sky,white breasted kingfisher,White-throated Kingfisher,,2,,,Halcyon smyrnensis,"=HYPERLINK(""https://ebird.org/species/whtkin2?siteLanguage=en_IN"", ""White-throated Kingfisher"")"
,,,,medium egret,Intermediate Egret (Medium Egret),,1,,,Ardea intermedia,"=HYPERLINK(""https://ebird.org/species/integr1?siteLanguage=en_IN"", ""Intermediate Egret (Medium Egret)"")"
,,,,little egret,Little Egret,,32+1+27+1,,,Egretta garzetta,"=HYPERLINK(""https://ebird.org/species/litegr?siteLanguage=en_IN"", ""Little Egret"")"
,,,,BW stilts,,,2,,,,
,,,,singing bush lark,Singing Bushlark,,2,,,Mirafra javanica,"=HYPERLINK(""https://ebird.org/species/sinbus6?siteLanguage=en_IN"", ""Singing Bushlark"")"
,,,,Cormorant,Little Cormorant,,2+4+2+3,,,Microcarbo niger,"=HYPERLINK(""https://ebird.org/species/litcor1?siteLanguage=en_IN"", ""Little Cormorant"")"
,,,,wagtails,White-browed Wagtail (Large Pied Wagtail),,3,,,Motacilla maderaspatensis,"=HYPERLINK(""https://ebird.org/species/whbwag1?siteLanguage=en_IN"", ""White-browed Wagtail (Large Pied Wagtail)"")"
,,,,Munia,Tricolored Munia (Black-headed Munia),,6+1+13,,,Lonchura malacca,"=HYPERLINK(""https://ebird.org/species/trimun?siteLanguage=en_IN"", ""Tricolored Munia (Black-headed Munia)"")"
,,,,Grey heron,Grey Heron,,3+1,,,Ardea cinerea,"=HYPERLINK(""https://ebird.org/species/graher1?siteLanguage=en_IN"", ""Grey Heron"")"
,,,,Coot,Eurasian Coot,,1+1+2,,,Fulica atra,"=HYPERLINK(""https://ebird.org/species/eurcoo?siteLanguage=en_IN"", ""Eurasian Coot"")"
,,,,Brahminiy kite,Brahminy Kite,,,,I juvenile,Haliastur indus,"=HYPERLINK(""https://ebird.org/species/brakit1?siteLanguage=en_IN"", ""Brahminy Kite"")"
,,,,pond heron,Indian Pond-Heron,,,,,Ardeola grayii,"=HYPERLINK(""https://ebird.org/species/inpher1?siteLanguage=en_IN"", ""Indian Pond-Heron"")"
,,,,swallows,,,5+1,,,,
,,,,green bee eater,Asian Green Bee-eater,,,,,Merops orientalis,"=HYPERLINK(""https://ebird.org/species/grnbee3?siteLanguage=en_IN"", ""Asian Green Bee-eater"")"
,,,,pintail,Northern Pintail,,,,,Anas acuta,"=HYPERLINK(""https://ebird.org/species/norpin?siteLanguage=en_IN"", ""Northern Pintail"")"
,,,,Shoveller,Northern Shoveler,,,,,Spatula clypeata,"=HYPERLINK(""https://ebird.org/species/norsho?siteLanguage=en_IN"", ""Northern Shoveler"")"
,,,,marsh harrier,Western Marsh Harrier,,,,,Circus aeruginosus,"=HYPERLINK(""https://ebird.org/species/wemhar1?siteLanguage=en_IN"", ""Western Marsh Harrier"")"
,,,,Red wattled Lapwing,Red-wattled Lapwing,,,,,Vanellus indicus,"=HYPERLINK(""https://ebird.org/species/rewlap1?siteLanguage=en_IN"", ""Red-wattled Lapwing"")"
,,,,Stilt,Black-winged Stilt,,,,,Himantopus himantopus,"=HYPERLINK(""https://ebird.org/species/bkwsti?siteLanguage=en_IN"", ""Black-winged Stilt"")"
,,,,Spot bill,Indian Spot-billed Duck,,,,,Anas poecilorhyncha,"=HYPERLINK(""https://ebird.org/species/isbduc1?siteLanguage=en_IN"", ""Indian Spot-billed Duck"")"
,,,,Large egret,Great Egret,,,,,Ardea alba,"=HYPERLINK(""https://ebird.org/species/greegr?siteLanguage=en_IN"", ""Great Egret"")"
,,,,Grey Heron,Grey Heron,,,,,Ardea cinerea,"=HYPERLINK(""https://ebird.org/species/graher1?siteLanguage=en_IN"", ""Grey Heron"")"
,,,,Cormorant,Little Cormorant,,109?,,,Microcarbo niger,"=HYPERLINK(""https://ebird.org/species/litcor1?siteLanguage=en_IN"", ""Little Cormorant"")"
,,,,vigions,Indian Paradise-Flycatcher,,,,,Terpsiphone paradisi,"=HYPERLINK(""https://ebird.org/species/aspfly1?siteLanguage=en_IN"", ""Indian Paradise-Flycatcher"")"
