Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name
7-12-97,,,Cloudy Sky,White Headed Babbler,Seen,,,,White-headed babbler
,,,,White Browed Bulbul,Heard,,,,White-browed bulbul
,,,,Rose Ringed Parakeet,Seen And Heard,,,,Rose-ringed Parakeet
,,,,Pond Heron,Seen And Heard,,,,Pond Heron
,,,,Koel,Seen And Heard,,,,Koel
,,,,Coucal,Heard,,,,Coucal
,,,,Spotted Dove,Seen And Heard,,,,Spotted Dove
,,,,White Breasted Kingfisher,,,,,White-breasted kingfisher
,,,,Drongo,,,,,Drongo
,,,,Pled Waggtail,Seen,,,,Pied Wagtail
,,,,Pariah Kite,,,,,Pariah Kite
,,,,Paddy Field Warbler,,,,,Paddyfield Warbler
,,,,Dove,,,,,Dove
,,,,Myna,Seen,,,,Myna
,,,,House Crow,,,,,House Crow
,,,,Jungle Crow,,,,,Jungle Crow
,,,,Little Egret,,,,,Little Egret
,,,,Medium Egret,,,,,Intermediate Egret
,,,,Common Swallow,,,,,Common Swallow
,,,,Spotted Munia,Seen,,,,Scaly-breasted Munia
,,,,White breasted water hen,Seen,,,,White-breasted waterhen
,,,,red whiskered bulbul,,8,,8+ birds seen feeding in the grass,Red-whiskered Bulbul
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,Lost Lake,Cloudy Sky,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,Rose Ringed Parakeet,Heard,,,,Rose-ringed Parakeet
,,,,Black Drongo,Seen,,,Pair,Black Drongo
,,,,sunbird,seen,,,,Sunbird
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,malkoha,,,,,Malkoha
,,,,paradise fly catcher,,,,,Paradise Flycatcher
,,,,grey drongo,,,,,grey drongo
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,little brown dove,,,,,Little Brown Dove
,,,,coucal,,,,,coucal
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,mottled wood owl,,,,,Mottled Wood Owl
,,,,plaintive cuckoo,,,,,Plaintive Cuckoo
,,,,jungle night jar,,,,17 calls in 1 min (7:30 pm),Jungle Nightjar
14-12-97,,,Cloudy Sky,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,Pariah kite,,,,,Pariah Kite
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,crimson breasted barbet,,,,,crimson-breasted barbet
,,,,Black Drongo,,,,,Black Drongo
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,spotted dove,,,,,Spotted Dove
,,,,coucal,,,,,coucal
,,,,koel,,,F,,Koel
,,,,myna,,,,,Myna
,,,,paradise fly catcher,,,F,,Paradise Flycatcher
,,,,roufous bellied babbler,,,,,Rufous-bellied Babbler
,,,,White breasted water hen,,,,,White-breasted waterhen
,,,,pond heron,,,,,Pond Heron
,,,,little herron,,,,,Little Heron
,,,,Taylor bird,,,,,Tailorbird
,,,,pied waggtail,,,,,Pied Wagtail
,,,,egret,,,,,egret
,,,,cattle egret,,,,,Cattle Egret
,,,,dabchick,,,,,dabchick
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,pied bushchat,,,,,Pied Bushchat
,,,,Warbler?,,,,,Warbler
,,,,drongo,,,,,drongo
,,,,common swallow,,,,,Common Swallow
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,plaintive cuckoo,,,,,Plaintive Cuckoo
,,,,mottled wood owl,,,,,Mottled Wood Owl
,8:00 am – 10:00 am,"Obulnayan Cheruvu (Irrigation canal)
Papanayan Cheruvu",Cloudy Sky,white breasted kingfisher,,2,,,White-breasted Kingfisher
,,,,medium egret,,1,,,Medium Egret
,,,,little egret,,32+1+27+1,,,Little Egret
,,,,BW stilts,,2,,,BW Stilts
,,,,singing bush lark,,2,,,Singing Bush Lark
,,,,Cormorant,,2+4+2+3,,,Cormorant
,,,,wagtails,,3,,,Wagtails
,,,,Munia,,6+1+13,,,Munia
,,,,Grey heron,,3+1,,,Grey Heron
,,,,Coot,,1+1+2,,,Coot
,,,,Brahminiy kite,,,,I juvenile,Brahminy Kite
,,,,pond heron,,,,,Pond Heron
,,,,swallows,,5+1,,,Swallows
,,,,green bee eater,,,,,green bee-eater
,,,,pintail,,,,,Pintail
,,,,Shoveller,,,,,Shoveler
,,,,marsh harrier,,,,,Marsh Harrier
,,,,Red wattled Lapwing,,,,,Red-wattled Lapwing
,,,,Stilt,,,,,Stilt
,,,,Spot bill,,,,,Spot-bill
,,,,Large egret,,,,,Large Egret
,,,,Grey Heron,,,,,Grey Heron
,,,,Cormorant,,109?,,,Cormorant
,,,,vigions,,,,,Flycatcher
,,,,common teel,,,,,Common Teal
,,,,Twany eagle,,,,,Tawny eagle
,,,,Myna,,,,,Myna
,,,,L Egerets,,23,,,Large Egrets
,,,,Cattle egrets,,21,,,Cattle Egrets
,,,,red rumped swallow,,Over 100+200,,,Red-rumped Swallow
,,,,Dabchick,,,,,Dabchick
,,,,little commonds,,50,,,Little Cormorant
,,,,white ringed plover,,12,,,White-ringed Plover
,,,,pintail,,20,,,Pintail
,,,,Comon sandpiper,,2,,,Common Sandpiper
,,,,Large grey babbler,,3,,,Large Grey Babbler
10-1-98,4:15 pm – 6:00 pm,,"Clear Sky, Bright sunshine",red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,coppersmith,,,,,Coppersmith
,,,,Iora,heard,,,,Iora
,,,,koel,,,,,Koel
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,pond heron,,,,,Pond Heron
,,,,oriole,,,F,,Oriole
,,,,sunbird,,,,,Sunbird
,,,,grey drongo,,,,,grey drongo
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,grey shrike,,,,,grey shrike
,,,,spotted dove,,,,,Spotted Dove
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,golden backed woodpecker,heard,,,,golden-backed woodpecker
,,,,White breasted water hen,,,,,White-breasted waterhen
