Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name,name,id
7-12-97,,,Cloudy Sky,White Headed Babbler,Seen,,,,White-headed babbler,Yellow-billed Babbler - Argya affinis,yebbab1
,,,,White Browed Bulbul,Heard,,,,White-browed bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
,,,,Rose Ringed Parakeet,Seen And Heard,,,,Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
,,,,Pond Heron,Seen And Heard,,,,Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
,,,,Koel,Seen And Heard,,,,Koel,Asian Koel - Eudynamys scolopaceus,asikoe2
,,,,Coucal,Heard,,,,Coucal,Greater Coucal - Centropus sinensis,grecou1
,,,,Spotted Dove,Seen And Heard,,,,Spotted Dove,Spotted Dove - Spilopelia chinensis,spodov
,,,,White Breasted Kingfisher,,,,,White-breasted kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,Drongo,,,,,Drongo,Hair-crested Drongo (Spangled Drongo) - Dicrurus hottentottus,hacdro1
,,,,Pled Waggtail,Seen,,,,Pied Wagtail,White-browed Wagtail (Large Pied Wagtail) - Motacilla maderaspatensis,whbwag1
,,,,Pariah Kite,,,,,Pariah Kite,Black Kite - Milvus migrans,blakit1
,,,,Paddy Field Warbler,,,,,Paddyfield Warbler,Paddyfield Warbler - Acrocephalus agricola,padwar1
,,,,Dove,,,,,Dove,Asian Emerald Dove - Chalcophaps indica,emedov2
,,,,Myna,Seen,,,,Myna,Common Myna - Acridotheres tristis,commyn
,,,,House Crow,,,,,House Crow,House Crow - Corvus splendens,houcro1
,,,,Jungle Crow,,,,,Jungle Crow,Large-billed Crow (Indian Jungle) - Corvus macrorhynchos culminatus,
,,,,Little Egret,,,,,Little Egret,Little Egret - Egretta garzetta,litegr
,,,,Medium Egret,,,,,Intermediate Egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
,,,,Common Swallow,,,,,Common Swallow,Red-rumped Swallow - Cecropis daurica,rerswa1
,,,,Spotted Munia,Seen,,,,Scaly-breasted Munia,Scaly-breasted Munia (Spotted Munia) - Lonchura punctulata,nutman
,,,,White breasted water hen,Seen,,,,White-breasted waterhen,White-breasted Waterhen - Amaurornis phoenicurus,whbwat1
,,,,red whiskered bulbul,,8,,8+ birds seen feeding in the grass,Red-whiskered Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
,,,,red vented bulbul,,,,,Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
,,Lost Lake,Cloudy Sky,red whiskered bulbul,,,,,Red-whiskered Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
,,,,Rose Ringed Parakeet,Heard,,,,Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
,,,,Black Drongo,Seen,,,Pair,Black Drongo,Black Drongo - Dicrurus macrocercus,bladro1
,,,,sunbird,seen,,,,Sunbird,Loten's Sunbird (Long-billed Sunbird) - Cinnyris lotenius,lobsun2
,,,,White Headed Babbler,,,,,White-headed babbler,Yellow-billed Babbler - Argya affinis,yebbab1
,,,,malkoha,,,,,Malkoha,Green-billed Malkoha - Phaenicophaeus tristis,grbmal1
,,,,paradise fly catcher,,,,,Paradise Flycatcher,Indian Paradise-Flycatcher - Terpsiphone paradisi,aspfly1
,,,,grey drongo,,,,,grey drongo,Ashy Drongo - Dicrurus leucophaeus,ashdro1
,,,,red vented bulbul,,,,,Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
,,,,white browed bulbul,,,,,White-browed Bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
,,,,little brown dove,,,,,Little Brown Dove,Laughing Dove (Little Brown Dove) - Spilopelia senegalensis,laudov1
,,,,coucal,,,,,coucal,Greater Coucal - Centropus sinensis,grecou1
,,,,White Headed Babbler,,,,,White-headed babbler,Yellow-billed Babbler - Argya affinis,yebbab1
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,mottled wood owl,,,,,Mottled Wood Owl,Mottled Wood-Owl - Strix ocellata,mowowl1
,,,,plaintive cuckoo,,,,,Plaintive Cuckoo,Plaintive Cuckoo - Cacomantis merulinus,placuc1
,,,,jungle night jar,,,,17 calls in 1 min (7:30 pm),Jungle Nightjar,Jungle Nightjar (Indian Jungle Nightjar) - Caprimulgus indicus,grynig2
14-12-97,,,Cloudy Sky,purple rumped sunbird,,,,,Purple-rumped Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,Pariah kite,,,,,Pariah Kite,Black Kite - Milvus migrans,blakit1
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
,,,,crimson breasted barbet,,,,,crimson-breasted barbet,Coppersmith Barbet - Psilopogon haemacephalus,copbar1
,,,,Black Drongo,,,,,Black Drongo,Black Drongo - Dicrurus macrocercus,bladro1
,,,,white browed bulbul,,,,,White-browed Bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
,,,,spotted dove,,,,,Spotted Dove,Spotted Dove - Spilopelia chinensis,spodov
,,,,coucal,,,,,coucal,Greater Coucal - Centropus sinensis,grecou1
,,,,koel,,,F,,Koel,Asian Koel - Eudynamys scolopaceus,asikoe2
,,,,myna,,,,,Myna,Common Myna - Acridotheres tristis,commyn
,,,,paradise fly catcher,,,F,,Paradise Flycatcher,Indian Paradise-Flycatcher - Terpsiphone paradisi,aspfly1
,,,,roufous bellied babbler,,,,,Rufous-bellied Babbler,Tawny-bellied Babbler - Dumetia hyperythra,tabbab1
,,,,White breasted water hen,,,,,White-breasted waterhen,White-breasted Waterhen - Amaurornis phoenicurus,whbwat1
,,,,pond heron,,,,,Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
,,,,little herron,,,,,Little Heron,Striated Heron (Little Heron) - Butorides striata,strher
,,,,Taylor bird,,,,,Tailorbird,Common Tailorbird - Orthotomus sutorius,comtai1
,,,,pied waggtail,,,,,Pied Wagtail,White-browed Wagtail (Large Pied Wagtail) - Motacilla maderaspatensis,whbwag1
,,,,egret,,,,,egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
,,,,cattle egret,,,,,Cattle Egret,Eastern Cattle Egret - Bubulcus coromandus,categr2
,,,,dabchick,,,,,dabchick,Little Grebe - Tachybaptus ruficollis,litgre1
,,,,red vented bulbul,,,,,Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
,,,,pied bushchat,,,,,Pied Bushchat,Pied Bushchat - Saxicola caprata,piebus1
,,,,Warbler?,,,,,Warbler,Blyth's Reed Warbler - Acrocephalus dumetorum,blrwar1
,,,,drongo,,,,,drongo,Hair-crested Drongo (Spangled Drongo) - Dicrurus hottentottus,hacdro1
,,,,common swallow,,,,,Common Swallow,Red-rumped Swallow - Cecropis daurica,rerswa1
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,plaintive cuckoo,,,,,Plaintive Cuckoo,Plaintive Cuckoo - Cacomantis merulinus,placuc1
,,,,mottled wood owl,,,,,Mottled Wood Owl,Mottled Wood-Owl - Strix ocellata,mowowl1
,8:00 am – 10:00 am,"Obulnayan Cheruvu (Irrigation canal)
Papanayan Cheruvu",Cloudy Sky,white breasted kingfisher,,2,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
