"Date","Time","Location","Weather","Bird Species","Notes","Count","Sex","Comments"
"7-12-97",,,"Cloudy Sky","White Headed Babbler","Seen",,,
,,,,"White Browed Bulbul","Heard",,,
,,,,"Rose Ringed Parakeet","Seen And Heard",,,
,,,,"Pond Heron","Seen And Heard",,,
,,,,"Koel","Seen And Heard",,,
,,,,"Coucal","Heard",,,
,,,,"Spotted Dove","Seen And Heard",,,
,,,,"White Breasted Kingfisher",,,,
,,,,"Drongo",,,,
,,,,"Pled Waggtail","Seen",,,
,,,,"Pariah Kite",,,,
,,,,"Paddy Field Warbler",,,,
,,,,"Dove",,,,
,,,,"Myna","Seen",,,
,,,,"House Crow",,,,
,,,,"Jungle Crow",,,,
,,,,"Little Egret",,,,
,,,,"Medium Egret",,,,
,,,,"Common Swallow",,,,
,,,,"Spotted Munia","Seen",,,
,,,,"White breasted water hen","Seen",,,
,,,,"red whiskered bulbul",,8,,"8+ birds seen feeding in the grass"
,,,,"red vented bulbul",,,,
,,"Lost Lake","Cloudy Sky","red whiskered bulbul",,,,
,,,,"Rose Ringed Parakeet","Heard",,,
,,,,"Black Drongo","Seen",,,"Pair"
,,,,"sunbird","seen",,,
,,,,"White Headed Babbler",,,,
,,,,"malkoha",,,,
,,,,"paradise fly catcher",,,,
,,,,"grey drongo",,,,
,,,,"red vented bulbul",,,,
,,,,"white browed bulbul",,,,
,,,,"little brown dove",,,,
,,,,"coucal",,,,
,,,,"White Headed Babbler",,,,
,,,,"white breasted kingfisher",,,,
,,,,"mottled wood owl",,,,
,,,,"plaintive cuckoo",,,,
,,,,"jungle night jar",,,,"17 calls in 1 min (7:30 pm)"
"14-12-97",,,"Cloudy Sky","purple rumped sunbird",,,,
,,,,"Pariah kite",,,,
,,,,"red whiskered bulbul",,,,
,,,,"crimson breasted barbet",,,,
,,,,"Black Drongo",,,,
,,,,"white browed bulbul",,,,
,,,,"Rose Ringed Parakeet",,,,
,,,,"spotted dove",,,,
,,,,"coucal",,,,
,,,,"koel",,,"F",
,,,,"myna",,,,
,,,,"paradise fly catcher",,,"F",
,,,,"roufous bellied babbler",,,,
,,,,"White breasted water hen",,,,
,,,,"pond heron",,,,
,,,,"little herron",,,,
,,,,"Taylor bird",,,,
,,,,"pied waggtail",,,,
,,,,"egret",,,,
,,,,"cattle egret",,,,
,,,,"dabchick",,,,
,,,,"red vented bulbul",,,,
,,,,"pied bushchat",,,,
,,,,"Warbler?",,,,
,,,,"drongo",,,,
,,,,"common swallow",,,,
,,,,"white breasted kingfisher",,,,
,,,,"plaintive cuckoo",,,,
,,,,"mottled wood owl",,,,
,"8:00 am – 10:00 am","Obulnayan Cheruvu (Irrigation canal)
Papanayan Cheruvu","Cloudy Sky","white breasted kingfisher",,2,,
,,,,"medium egret",,1,,
,,,,"little egret",,"32+1+27+1",,
,,,,"BW stilts",,2,,
,,,,"singing bush lark",,2,,
,,,,"Cormorant",,"2+4+2+3",,
,,,,"wagtails",,3,,
,,,,"Munia",,"6+1+13",,
,,,,"Grey heron",,"3+1",,
,,,,"Coot",,"1+1+2",,
,,,,"Brahminiy kite",,,,"I juvenile"
,,,,"pond heron",,,,
,,,,"swallows",,"5+1",,
,,,,"green bee eater",,,,
,,,,"pintail",,,,
,,,,"Shoveller",,,,
,,,,"marsh harrier",,,,
,,,,"Red wattled Lapwing",,,,
,,,,"Stilt",,,,
,,,,"Spot bill",,,,
,,,,"Large egret",,,,
,,,,"Grey Heron",,,,
,,,,"Cormorant",,"109?",,
,,,,"vigions",,,,
,,,,"common teel",,,,
,,,,"Twany eagle",,,,
,,,,"Myna",,,,
,,,,"L Egerets",,23,,
,,,,"Cattle egrets",,21,,
,,,,"red rumped swallow",,"Over 100+200",,
,,,,"Dabchick",,,,
,,,,"little commonds",,50,,
,,,,"white ringed plover",,12,,
,,,,"pintail",,20,,
,,,,"Comon sandpiper",,2,,
,,,,"Large grey babbler",,3,,
"10-1-98","4:15 pm – 6:00 pm",,"Clear Sky, Bright sunshine","red whiskered bulbul",,,,
,,,,"coppersmith",,,,
,,,,"Iora","heard",,,
,,,,"koel",,,,
,,,,"purple rumped sunbird",,,,
,,,,"pond heron",,,,
,,,,"oriole",,,"F",
,,,,"sunbird",,,,
,,,,"grey drongo",,,,
,,,,"red vented bulbul",,,,
,,,,"purple rumped sunbird",,,,
,,,,"grey shrike",,,,
,,,,"spotted dove",,,,
,,,,"Rose Ringed Parakeet",,,,
,,,,"White Headed Babbler",,,,
