corrected_name,standardized_name,id
White-browed bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
Pond Heron,Malagasy Pond-Heron - Ardeola idae,mapher1
Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
Pond Heron,Chinese Pond-Heron - Ardeola bacchus,chpher1
Pond Heron,Javan Pond-Heron - Ardeola speciosa,japher1
Koel,Dwarf Koel - Microdynamis parva,dwakoe1
Koel,Asian Koel - Eudynamys scolopaceus,asikoe2
Koel,Black-billed Koel - Eudynamys melanorhynchus,bkbkoe1
Koel,Pacific Koel - Eudynamys orientalis,asikoe3
Koel,Long-tailed Koel - Urodynamis taitensis,lotkoe1
Coucal,Buff-headed Coucal - Centropus milo,buhcou1
Coucal,Pied Coucal - Centropus ateralbus,piecou1
Coucal,Biak Coucal - Centropus chalybeus,biacou1
Coucal,Greater Black Coucal - Centropus menbeki,grbcou1
Coucal,Rufous Coucal - Centropus unirufus,rufcou1
Coucal,Green-billed Coucal - Centropus chlororhynchos,grbcou2
Coucal,Black-faced Coucal - Centropus melanops,blfcou1
Coucal,Short-toed Coucal - Centropus rectunguis,shtcou1
Coucal,Black-hooded Coucal - Centropus steerii,blhcou1
Coucal,Bay Coucal - Centropus celebensis,baycou1
Coucal,Gabon Coucal - Centropus anselli,gabcou1
Coucal,Black-throated Coucal - Centropus leucogaster,bltcou1
Coucal,Senegal Coucal - Centropus senegalensis,sencou1
Coucal,Blue-headed Coucal - Centropus monachus,blhcou2
Coucal,Coppery-tailed Coucal - Centropus cupreicaudus,cotcou1
Coucal,White-browed Coucal - Centropus superciliosus,whbcou1
Coucal,Sunda Coucal - Centropus nigrorufus,suncou1
Coucal,Andaman Coucal - Centropus andamanensis,andcou1
Coucal,Greater Coucal - Centropus sinensis,grecou1
Coucal,Goliath Coucal - Centropus goliath,golcou1
Coucal,Malagasy Coucal - Centropus toulou,madcou1
Coucal,Black Coucal - Centropus grillii,blacou1
Coucal,Philippine Coucal - Centropus viridis,phicou1
Coucal,Lesser Coucal - Centropus bengalensis,lescou1
Coucal,Violaceous Coucal - Centropus violaceus,viocou1
Coucal,Lesser Black Coucal - Centropus bernsteini,lebcou1
Coucal,Pheasant Coucal - Centropus phasianinus,phecou2
Spotted Dove,Spotted Dove - Spilopelia chinensis,spodov
Spotted Dove,Emerald-spotted Wood-Dove - Turtur chalcospilos,eswdov1
Spotted Dove,Blue-spotted Wood-Dove - Turtur afer,bswdov1
Spotted Dove,Golden-spotted Ground Dove - Metriopelia aymara,gsgdov1
Spotted Dove,Pink-spotted Fruit-Dove - Ptilinopus perlatus,psfdov1
Drongo,Fork-tailed Drongo-Cuckoo - Surniculus dicruroides,asidrc2
Drongo,Philippine Drongo-Cuckoo - Surniculus velutinus,phidrc1
Drongo,Square-tailed Drongo-Cuckoo - Surniculus lugubris,asidrc3
Drongo,Moluccan Drongo-Cuckoo - Surniculus musschenbroeki,asidrc4
Drongo,Drongo Fantail - Chaetorhynchus papuensis,papdro1
Drongo,Sharpe's Drongo - Dicrurus sharpei,shadro2
Drongo,Square-tailed Drongo - Dicrurus ludwigii,cstdro1
Drongo,Shining Drongo - Dicrurus atripennis,shidro1
Drongo,Fork-tailed Drongo - Dicrurus adsimilis,fotdro5
Drongo,Velvet-mantled Drongo - Dicrurus modestus,vemdro6
Drongo,Aldabra Drongo - Dicrurus aldabranus,alddro1
Drongo,Comoro Drongo - Dicrurus fuscipennis,comdro1
Drongo,Crested Drongo - Dicrurus forficatus,credro1
Drongo,Mayotte Drongo - Dicrurus waldenii,maydro1
Drongo,Black Drongo - Dicrurus macrocercus,bladro1
Drongo,Ashy Drongo - Dicrurus leucophaeus,ashdro1
Drongo,White-bellied Drongo - Dicrurus caerulescens,whbdro1
Drongo,Crow-billed Drongo - Dicrurus annectens,crbdro1
Drongo,Bronzed Drongo - Dicrurus aeneus,brodro1
