corrected_name,standardized_name,id
White-browed bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
Koel,Asian Koel - Eudynamys scolopaceus,asikoe2
Coucal,Greater Coucal - Centropus sinensis,grecou1
Spotted Dove,Spotted Dove - Spilopelia chinensis,spodov
Drongo,Black Drongo - Dicrurus macrocercus,bladro1
Drongo,Ashy Drongo - Dicrurus leucophaeus,ashdro1
Drongo,Hair-crested Drongo (Spangled Drongo) - Dicrurus hottentottus,hacdro1
Pied Wagtail,White-browed Wagtail (Large Pied Wagtail) - Motacilla maderaspatensis,whbwag1
Paddyfield Warbler,Paddyfield Warbler - Acrocephalus agricola,padwar1
Dove,Spotted Dove - Spilopelia chinensis,spodov
Dove,Laughing Dove (Little Brown Dove) - Spilopelia senegalensis,laudov1
Dove,Asian Emerald Dove - Chalcophaps indica,emedov2
Myna,Common Myna - Acridotheres tristis,commyn
House Crow,House Crow - Corvus splendens,houcro1
Little Egret,Little Egret - Egretta garzetta,litegr
Intermediate Egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
Scaly-breasted Munia,Scaly-breasted Munia (Spotted Munia) - Lonchura punctulata,nutman
White-breasted waterhen,White-breasted Waterhen - Amaurornis phoenicurus,whbwat1
Red-whiskered Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
Black Drongo,Black Drongo - Dicrurus macrocercus,bladro1
Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
Sunbird,Purple Sunbird - Cinnyris asiaticus,pursun4
Sunbird,Loten's Sunbird (Long-billed Sunbird) - Cinnyris lotenius,lobsun2
Malkoha,Sirkeer Malkoha - Taccocua leschenaultii,sirmal1
Malkoha,Green-billed Malkoha - Phaenicophaeus tristis,grbmal1
Paradise Flycatcher,Indian Paradise-Flycatcher - Terpsiphone paradisi,aspfly1
White-browed Bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
Little Brown Dove,Laughing Dove (Little Brown Dove) - Spilopelia senegalensis,laudov1
coucal,Greater Coucal - Centropus sinensis,grecou1
Mottled Wood Owl,Mottled Wood-Owl - Strix ocellata,mowowl1
Plaintive Cuckoo,Plaintive Cuckoo - Cacomantis merulinus,placuc1
Jungle Nightjar,Jungle Nightjar (Indian Jungle Nightjar) - Caprimulgus indicus,grynig2
Purple-rumped Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
Little Heron,Striated Heron (Little Heron) - Butorides striata,strher
Tailorbird,Common Tailorbird - Orthotomus sutorius,comtai1
egret,Little Egret - Egretta garzetta,litegr
egret,Eastern Cattle Egret - Bubulcus coromandus,categr2
egret,Great Egret - Ardea alba,greegr
egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
Cattle Egret,Eastern Cattle Egret - Bubulcus coromandus,categr2
Pied Bushchat,Pied Bushchat - Saxicola caprata,piebus1
Warbler,Paddyfield Warbler - Acrocephalus agricola,padwar1
Warbler,Blyth's Reed Warbler - Acrocephalus dumetorum,blrwar1
drongo,Black Drongo - Dicrurus macrocercus,bladro1
drongo,Ashy Drongo - Dicrurus leucophaeus,ashdro1
drongo,Hair-crested Drongo (Spangled Drongo) - Dicrurus hottentottus,hacdro1
Medium Egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
Cormorant,Little Cormorant - Microcarbo niger,litcor1
Munia,Indian Silverbill (White-throated Munia) - Euodice malabarica,indsil
Munia,Scaly-breasted Munia (Spotted Munia) - Lonchura punctulata,nutman
Munia,White-rumped Munia - Lonchura striata,whrmun
Munia,Tricolored Munia (Black-headed Munia) - Lonchura malacca,trimun
Grey Heron,Grey Heron - Ardea cinerea,graher1
Coot,Eurasian Coot - Fulica atra,eurcoo
Brahminy Kite,Brahminy Kite - Haliastur indus,brakit1
